[2024-12-06T13:34:58.433271+09:00] front.INFO [ac455048] [7ce4bca] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/products/list?category_id=4, 153.156.193.191, https://comprime-dev01.com/test_ec/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-06T13:35:07.412287+09:00] front.INFO [ac455048] [4840831] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/products/list?category_id=3, 153.156.193.191, https://comprime-dev01.com/test_ec/products/list?category_id=4, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-06T13:35:08.651743+09:00] front.INFO [ac455048] [4804bec] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/products/list?category_id=1, 153.156.193.191, https://comprime-dev01.com/test_ec/products/list?category_id=3, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-06T13:35:10.181058+09:00] front.INFO [ac455048] [26dec5f] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/products/list, 153.156.193.191, https://comprime-dev01.com/test_ec/products/list?category_id=1, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-06T13:38:10.405192+09:00] front.INFO [ac455048] [54c92d7] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/products/detail/1, 153.156.193.191, https://comprime-dev01.com/test_ec/products/list, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-06T13:38:33.534509+09:00] front.INFO [ac455048] [91742ac] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/products/detail/2, 153.156.193.191, https://comprime-dev01.com/test_ec/products/list, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-06T14:30:51.328669+09:00] front.INFO [ac455048] [34a22f1] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/products/list?category_id=1, 153.156.193.191, https://comprime-dev01.com/test_ec/products/list?category_id=3, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-06T14:30:51.582205+09:00] front.INFO [ac455048] [ab5ac4f] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/products/list?category_id=3, 153.156.193.191, https://comprime-dev01.com/test_ec/products/list?category_id=4, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-06T14:30:51.873712+09:00] front.INFO [ac455048] [23f6162] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/products/list?category_id=4, 153.156.193.191, https://comprime-dev01.com/test_ec/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-06T15:30:02.749060+09:00] front.INFO [ac455048] [8d56bef] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/products/list?category_id=3, 153.156.193.191, https://comprime-dev01.com/test_ec/products/list?category_id=4, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-06T15:30:04.414915+09:00] front.INFO [ac455048] [e635302] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/products/list?category_id=3, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
