[2024-12-12T12:15:58.972052+09:00] front.INFO [N/A] [4da24c9] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/, 49.104.20.217, https://comprime-dev01.com/test_ec/, Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/124.0.6367.111 Mobile/15E148 Safari/604.1]
[2024-12-12T12:15:59.031891+09:00] front.WARNING [9d353c1a] [4da24c9] [N/A] [Eccube\Log\Logger:log:66] - Unable to generate a URL for the named route "about" as such route does not exist. {"exception":"[object] (Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"about\" as such route does not exist. at /home/xs376496/comprime-dev01.com/public_html/test_ec/vendor/symfony/routing/Generator/CompiledUrlGenerator.php:50)"} [GET, /test_ec/, 49.104.20.217, https://comprime-dev01.com/test_ec/, Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/124.0.6367.111 Mobile/15E148 Safari/604.1]
[2024-12-12T17:08:56.408765+09:00] front.WARNING [b70d0639] [ae81a2e] [N/A] [Eccube\Log\Logger:log:66] - Unable to generate a URL for the named route "about" as such route does not exist. {"exception":"[object] (Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"about\" as such route does not exist. at /home/xs376496/comprime-dev01.com/public_html/test_ec/vendor/symfony/routing/Generator/CompiledUrlGenerator.php:50)"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:16:38.725370+09:00] front.INFO [b70d0639] [5c51616] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:16:38.733301+09:00] front.WARNING [b70d0639] [5c51616] [N/A] [Eccube\Log\Logger:log:66] - Unable to generate a URL for the named route "about" as such route does not exist. {"exception":"[object] (Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"about\" as such route does not exist. at /home/xs376496/comprime-dev01.com/public_html/test_ec/vendor/symfony/routing/Generator/CompiledUrlGenerator.php:50)"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:16:51.791216+09:00] front.INFO [b70d0639] [7c5e311] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:16:51.797259+09:00] front.WARNING [b70d0639] [7c5e311] [N/A] [Eccube\Log\Logger:log:66] - Unable to generate a URL for the named route "about" as such route does not exist. {"exception":"[object] (Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"about\" as such route does not exist. at /home/xs376496/comprime-dev01.com/public_html/test_ec/vendor/symfony/routing/Generator/CompiledUrlGenerator.php:50)"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:17:55.438634+09:00] front.INFO [b70d0639] [812669b] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:17:55.444550+09:00] front.WARNING [b70d0639] [812669b] [N/A] [Eccube\Log\Logger:log:66] - Unable to generate a URL for the named route "about" as such route does not exist. {"exception":"[object] (Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"about\" as such route does not exist. at /home/xs376496/comprime-dev01.com/public_html/test_ec/vendor/symfony/routing/Generator/CompiledUrlGenerator.php:50)"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:18:36.178607+09:00] front.INFO [b70d0639] [3565efb] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/products/list?category_id=1, 153.156.193.191, https://comprime-dev01.com/test_ec/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
[2024-12-12T17:20:15.803451+09:00] front.INFO [b70d0639] [2548918] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
