[2024-12-12T12:15:58.847398+09:00] request.INFO [N/A] [4da24c9] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "homepage". {"route":"homepage","route_parameters":{"_route":"homepage","_controller":"Eccube\\Controller\\TopController::index"},"request_uri":"https://comprime-dev01.com/test_ec/","method":"GET"} [GET, /test_ec/, 49.104.20.217, https://comprime-dev01.com/test_ec/, Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/124.0.6367.111 Mobile/15E148 Safari/604.1]
[2024-12-12T12:15:58.972052+09:00] front.INFO [N/A] [4da24c9] [N/A] [Eccube\Log\Logger:log:66] - fallback to PC layout [] [GET, /test_ec/, 49.104.20.217, https://comprime-dev01.com/test_ec/, Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/124.0.6367.111 Mobile/15E148 Safari/604.1]
[2024-12-12T12:15:59.031891+09:00] front.WARNING [9d353c1a] [4da24c9] [N/A] [Eccube\Log\Logger:log:66] - Unable to generate a URL for the named route "about" as such route does not exist. {"exception":"[object] (Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"about\" as such route does not exist. at /home/xs376496/comprime-dev01.com/public_html/test_ec/vendor/symfony/routing/Generator/CompiledUrlGenerator.php:50)"} [GET, /test_ec/, 49.104.20.217, https://comprime-dev01.com/test_ec/, Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/124.0.6367.111 Mobile/15E148 Safari/604.1]
[2024-12-12T17:08:52.200887+09:00] request.INFO [N/A] [101904e] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_homepage". {"route":"admin_homepage","route_parameters":{"_route":"admin_homepage","_controller":"Eccube\\Controller\\Admin\\AdminController::index"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/","method":"GET"} [GET, /test_ec/administrator/, 153.156.193.191, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:08:52.223573+09:00] request.INFO [N/A] [f68fa07] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_login". {"route":"admin_login","route_parameters":{"_route":"admin_login","_controller":"Eccube\\Controller\\Admin\\AdminController::login"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/login","method":"GET"} [GET, /test_ec/administrator/login, 153.156.193.191, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:08:53.319387+09:00] request.INFO [N/A] [4c947f7] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_login". {"route":"admin_login","route_parameters":{"_route":"admin_login","_controller":"Eccube\\Controller\\Admin\\AdminController::login"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/login","method":"POST"} [POST, /test_ec/administrator/login, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/login, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:08:53.753423+09:00] security.INFO [096766b7] [4c947f7] [N/A] [Symfony\Component\Security\Http\Authentication\AuthenticatorManager:executeAuthenticator:209] - Authenticator successful! {"token":{"Symfony\\Component\\Security\\Core\\Authentication\\Token\\UsernamePasswordToken":"UsernamePasswordToken(user=\"testec\", roles=\"ROLE_ADMIN\")"},"authenticator":"Symfony\\Component\\Security\\Http\\Authenticator\\FormLoginAuthenticator"} [POST, /test_ec/administrator/login, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/login, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:08:53.840872+09:00] request.INFO [N/A] [f82623d] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_homepage". {"route":"admin_homepage","route_parameters":{"_route":"admin_homepage","_controller":"Eccube\\Controller\\Admin\\AdminController::index"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/","method":"GET"} [GET, /test_ec/administrator/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/login, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:08:54.270409+09:00] admin.INFO [b70d0639] [f82623d] [1] [Eccube\Log\Logger:log:64] - http get_info {"url":"https://package-api-c2.ec-cube.net/v43/plugins/recommended","content_type":"application/json;charset=UTF-8","http_code":200,"header_size":413,"request_size":163,"filetime":-1,"ssl_verify_result":0,"redirect_count":0,"total_time":0.3188750000000000195399252334027551114559173583984375,"namelookup_time":0.1280110000000000136655131655061268247663974761962890625,"connect_time":0.1531190000000000051016968427575193345546722412109375,"pretransfer_time":0.29194500000000001005417971100541763007640838623046875,"size_upload":0.0,"size_download":12138.0,"speed_download":38065.0,"speed_upload":0.0,"download_content_length":-1.0,"upload_content_length":0.0,"starttransfer_time":0.31883600000000000829203372632036916911602020263671875,"redirect_time":0.0,"redirect_url":"","primary_ip":"133.242.233.183","certinfo":[],"primary_port":443,"local_ip":"162.43.117.141","local_port":50826,"message":""} [GET, /test_ec/administrator/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/login, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:08:54.987565+09:00] request.INFO [N/A] [dfd1ea5] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "admin_homepage_sale". {"route":"admin_homepage_sale","route_parameters":{"_route":"admin_homepage_sale","_controller":"Eccube\\Controller\\Admin\\AdminController::sale"},"request_uri":"https://comprime-dev01.com/test_ec/administrator/sale_chart","method":"GET"} [GET, /test_ec/administrator/sale_chart, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:08:56.393398+09:00] request.INFO [N/A] [ae81a2e] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "homepage". {"route":"homepage","route_parameters":{"_route":"homepage","_controller":"Eccube\\Controller\\TopController::index"},"request_uri":"https://comprime-dev01.com/test_ec/","method":"GET"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:08:56.408765+09:00] front.WARNING [b70d0639] [ae81a2e] [N/A] [Eccube\Log\Logger:log:66] - Unable to generate a URL for the named route "about" as such route does not exist. {"exception":"[object] (Symfony\\Component\\Routing\\Exception\\RouteNotFoundException(code: 0): Unable to generate a URL for the named route \"about\" as such route does not exist. at /home/xs376496/comprime-dev01.com/public_html/test_ec/vendor/symfony/routing/Generator/CompiledUrlGenerator.php:50)"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36]
[2024-12-12T17:16:38.717269+09:00] request.INFO [N/A] [5c51616] [N/A] [Symfony\Component\HttpKernel\EventListener\RouterListener:onKernelRequest:110] - Matched route "homepage". {"route":"homepage","route_parameters":{"_route":"homepage","_controller":"Eccube\\Controller\\TopController::index"},"request_uri":"https://comprime-dev01.com/test_ec/","method":"GET"} [GET, /test_ec/, 153.156.193.191, https://comprime-dev01.com/test_ec/administrator/, Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36]
